satellite,elevation,azimuth,snr,time,network,band
37,22.0,46.0,50.0,45608,BeiDou,L1
9,21.0,51.0,45.0,45608,BeiDou,L1
6,8.0,49.0,40.0,45608,BeiDou,L1
37,22.0,46.0,51.0,45608,BeiDou,L5
9,15.0,95.0,47.0,45609,GPS,L1
9,15.0,95.0,50.0,45609,GPS,L5
6,17.0,88.0,36.0,45609,Galileo,L5
23,11.0,26.0,45.0,45609,Galileo,L5
6,17.0,88.0,51.0,45609,Galileo,L1
23,11.0,26.0,51.0,45609,Galileo,L1
37,22.0,46.0,50.0,45609,BeiDou,L1
9,21.0,51.0,45.0,45609,BeiDou,L1
6,8.0,49.0,40.0,45609,BeiDou,L1
37,22.0,46.0,51.0,45609,BeiDou,L5
9,15.0,95.0,47.0,45610,GPS,L1
9,15.0,95.0,50.0,45610,GPS,L5
6,17.0,88.0,36.0,45610,Galileo,L5
23,11.0,26.0,45.0,45610,Galileo,L5
6,17.0,88.0,51.0,45610,Galileo,L1
23,11.0,26.0,51.0,45610,Galileo,L1
37,22.0,46.0,50.0,45610,BeiDou,L1
9,21.0,51.0,46.0,45610,BeiDou,L1
6,8.0,49.0,40.0,45610,BeiDou,L1
37,22.0,46.0,51.0,45610,BeiDou,L5
9,15.0,95.0,47.0,45611,GPS,L1
9,15.0,95.0,50.0,45611,GPS,L5
6,17.0,88.0,37.0,45611,Galileo,L5
23,11.0,26.0,45.0,45611,Galileo,L5
6,17.0,88.0,51.0,45611,Galileo,L1
23,11.0,26.0,51.0,45611,Galileo,L1
37,22.0,46.0,50.0,45611,BeiDou,L1
9,21.0,51.0,46.0,45611,BeiDou,L1
6,8.0,49.0,40.0,45611,BeiDou,L1
37,22.0,46.0,51.0,45611,BeiDou,L5
9,15.0,95.0,47.0,45612,GPS,L1
9,15.0,95.0,50.0,45612,GPS,L5
6,17.0,88.0,38.0,45612,Galileo,L5
23,11.0,26.0,44.0,45612,Galileo,L5
6,17.0,88.0,51.0,45612,Galileo,L1
23,11.0,26.0,51.0,45612,Galileo,L1
37,22.0,46.0,50.0,45612,BeiDou,L1
9,21.0,51.0,46.0,45612,BeiDou,L1
6,8.0,49.0,40.0,45612,BeiDou,L1
37,22.0,46.0,51.0,45612,BeiDou,L5
9,15.0,95.0,47.0,45613,GPS,L1
9,15.0,95.0,50.0,45613,GPS,L5
23,11.0,26.0,43.0,45613,Galileo,L5
6,17.0,88.0,38.0,45613,Galileo,L5
6,17.0,88.0,51.0,45613,Galileo,L1
23,11.0,26.0,51.0,45613,Galileo,L1
37,22.0,46.0,50.0,45613,BeiDou,L1
9,21.0,51.0,46.0,45613,BeiDou,L1
6,8.0,49.0,41.0,45613,BeiDou,L1
37,22.0,46.0,51.0,45613,BeiDou,L5
9,15.0,95.0,48.0,45614,GPS,L1
9,15.0,95.0,50.0,45614,GPS,L5
23,11.0,26.0,43.0,45614,Galileo,L5
6,17.0,88.0,39.0,45614,Galileo,L5
6,17.0,88.0,51.0,45614,Galileo,L1
23,11.0,26.0,51.0,45614,Galileo,L1
37,22.0,46.0,50.0,45614,BeiDou,L1
9,21.0,51.0,46.0,45614,BeiDou,L1
6,8.0,49.0,41.0,45614,BeiDou,L1
37,22.0,46.0,51.0,45614,BeiDou,L5
9,15.0,95.0,47.0,45615,GPS,L1
9,15.0,95.0,50.0,45615,GPS,L5
6,17.0,88.0,39.0,45615,Galileo,L5
23,11.0,26.0,43.0,45615,Galileo,L5
6,17.0,88.0,51.0,45615,Galileo,L1
23,11.0,26.0,51.0,45615,Galileo,L1
37,22.0,46.0,49.0,45615,BeiDou,L1
9,21.0,51.0,46.0,45615,BeiDou,L1
6,8.0,49.0,41.0,45615,BeiDou,L1
37,22.0,46.0,51.0,45615,BeiDou,L5
9,15.0,95.0,48.0,45616,GPS,L1
9,15.0,95.0,50.0,45616,GPS,L5
23,11.0,26.0,43.0,45616,Galileo,L5
6,17.0,88.0,40.0,45616,Galileo,L5
6,17.0,88.0,51.0,45616,Galileo,L1
23,11.0,26.0,51.0,45616,Galileo,L1
37,22.0,46.0,49.0,45616,BeiDou,L1
9,21.0,51.0,46.0,45616,BeiDou,L1
6,8.0,49.0,41.0,45616,BeiDou,L1
37,22.0,46.0,51.0,45616,BeiDou,L5
9,15.0,95.0,48.0,45617,GPS,L1
9,15.0,95.0,50.0,45617,GPS,L5
23,11.0,26.0,43.0,45617,Galileo,L5
6,17.0,88.0,40.0,45617,Galileo,L5
6,17.0,88.0,51.0,45617,Galileo,L1
23,11.0,26.0,51.0,45617,Galileo,L1
37,22.0,46.0,49.0,45617,BeiDou,L1
9,21.0,51.0,46.0,45617,BeiDou,L1
6,8.0,49.0,41.0,45617,BeiDou,L1
37,22.0,46.0,51.0,45617,BeiDou,L5
9,15.0,95.0,47.0,45618,GPS,L1
9,15.0,95.0,50.0,45618,GPS,L5
23,11.0,26.0,44.0,45618,Galileo,L5
6,17.0,88.0,40.0,45618,Galileo,L5
6,17.0,88.0,51.0,45618,Galileo,L1
23,11.0,26.0,51.0,45618,Galileo,L1
37,22.0,46.0,49.0,45618,BeiDou,L1
9,21.0,51.0,46.0,45618,BeiDou,L1
6,8.0,49.0,41.0,45618,BeiDou,L1
37,22.0,46.0,51.0,45618,BeiDou,L5
9,15.0,95.0,47.0,45619,GPS,L1
9,15.0,95.0,50.0,45619,GPS,L5
23,11.0,26.0,44.0,45619,Galileo,L5
6,17.0,88.0,39.0,45619,Galileo,L5
6,17.0,88.0,51.0,45619,Galileo,L1
23,11.0,26.0,51.0,45619,Galileo,L1
37,22.0,46.0,49.0,45619,BeiDou,L1
9,21.0,51.0,46.0,45619,BeiDou,L1
6,8.0,49.0,41.0,45619,BeiDou,L1
37,22.0,46.0,51.0,45619,BeiDou,L5
9,15.0,95.0,47.0,45620,GPS,L1
9,15.0,95.0,50.0,45620,GPS,L5
6,17.0,88.0,39.0,45620,Galileo,L5
23,11.0,26.0,44.0,45620,Galileo,L5
6,17.0,88.0,51.0,45620,Galileo,L1
23,11.0,26.0,51.0,45620,Galileo,L1
37,22.0,46.0,49.0,45620,BeiDou,L1
9,21.0,51.0,46.0,45620,BeiDou,L1
6,8.0,49.0,41.0,45620,BeiDou,L1
37,22.0,46.0,51.0,45620,BeiDou,L5
9,15.0,95.0,47.0,45621,GPS,L1
9,15.0,95.0,50.0,45621,GPS,L5
23,11.0,26.0,44.0,45621,Galileo,L5
6,17.0,88.0,39.0,45621,Galileo,L5
6,17.0,88.0,51.0,45621,Galileo,L1
23,11.0,26.0,51.0,45621,Galileo,L1
37,22.0,46.0,50.0,45621,BeiDou,L1
9,21.0,51.0,46.0,45621,BeiDou,L1
6,8.0,49.0,41.0,45621,BeiDou,L1
37,22.0,46.0,51.0,45621,BeiDou,L5
9,15.0,95.0,47.0,45622,GPS,L1
9,15.0,95.0,50.0,45622,GPS,L5
6,17.0,88.0,37.0,45622,Galileo,L5
23,11.0,26.0,44.0,45622,Galileo,L5
6,17.0,88.0,51.0,45622,Galileo,L1
23,11.0,26.0,51.0,45622,Galileo,L1
37,22.0,46.0,50.0,45622,BeiDou,L1
9,21.0,51.0,46.0,45622,BeiDou,L1
6,8.0,49.0,41.0,45622,BeiDou,L1
37,22.0,46.0,51.0,45622,BeiDou,L5
9,15.0,95.0,47.0,45623,GPS,L1
9,15.0,95.0,50.0,45623,GPS,L5
6,17.0,88.0,37.0,45623,Galileo,L5
23,11.0,26.0,43.0,45623,Galileo,L5
6,17.0,88.0,51.0,45623,Galileo,L1
23,11.0,26.0,51.0,45623,Galileo,L1
37,22.0,46.0,50.0,45623,BeiDou,L1
9,21.0,51.0,46.0,45623,BeiDou,L1
6,8.0,49.0,41.0,45623,BeiDou,L1
37,22.0,46.0,51.0,45623,BeiDou,L5
9,15.0,95.0,47.0,45624,GPS,L1
9,15.0,95.0,50.0,45624,GPS,L5
6,17.0,88.0,38.0,45624,Galileo,L5
23,11.0,26.0,43.0,45624,Galileo,L5
6,17.0,88.0,51.0,45624,Galileo,L1
23,11.0,26.0,51.0,45624,Galileo,L1
37,22.0,46.0,50.0,45624,BeiDou,L1
9,21.0,51.0,45.0,45624,BeiDou,L1
6,8.0,49.0,40.0,45624,BeiDou,L1
37,22.0,46.0,51.0,45624,BeiDou,L5
9,15.0,95.0,47.0,45625,GPS,L1
9,15.0,95.0,50.0,45625,GPS,L5
6,17.0,88.0,39.0,45625,Galileo,L5
23,11.0,26.0,43.0,45625,Galileo,L5
6,17.0,88.0,51.0,45625,Galileo,L1
23,11.0,26.0,51.0,45625,Galileo,L1
37,22.0,46.0,50.0,45625,BeiDou,L1
9,21.0,51.0,45.0,45625,BeiDou,L1
6,8.0,49.0,40.0,45625,BeiDou,L1
37,22.0,46.0,51.0,45625,BeiDou,L5
9,15.0,95.0,46.0,45626,GPS,L1
9,15.0,95.0,50.0,45626,GPS,L5
6,17.0,88.0,40.0,45626,Galileo,L5
23,11.0,26.0,43.0,45626,Galileo,L5
6,17.0,88.0,51.0,45626,Galileo,L1
23,11.0,26.0,51.0,45626,Galileo,L1
37,22.0,46.0,50.0,45626,BeiDou,L1
9,21.0,51.0,45.0,45626,BeiDou,L1
6,8.0,49.0,40.0,45626,BeiDou,L1
37,22.0,46.0,51.0,45626,BeiDou,L5
9,15.0,95.0,46.0,45627,GPS,L1
9,15.0,95.0,50.0,45627,GPS,L5
23,11.0,26.0,43.0,45627,Galileo,L5
6,17.0,88.0,40.0,45627,Galileo,L5
6,17.0,88.0,50.0,45627,Galileo,L1
23,11.0,26.0,51.0,45627,Galileo,L1
37,22.0,46.0,49.0,45627,BeiDou,L1
9,21.0,51.0,45.0,45627,BeiDou,L1
6,8.0,49.0,40.0,45627,BeiDou,L1
37,22.0,46.0,51.0,45627,BeiDou,L5
9,15.0,95.0,47.0,45628,GPS,L1
9,15.0,95.0,50.0,45628,GPS,L5
23,11.0,26.0,43.0,45628,Galileo,L5
6,17.0,88.0,40.0,45628,Galileo,L5
6,17.0,88.0,50.0,45628,Galileo,L1
23,11.0,26.0,51.0,45628,Galileo,L1
37,22.0,46.0,50.0,45628,BeiDou,L1
9,21.0,51.0,45.0,45628,BeiDou,L1
6,8.0,49.0,40.0,45628,BeiDou,L1
37,22.0,46.0,51.0,45628,BeiDou,L5
9,15.0,95.0,47.0,45629,GPS,L1
9,15.0,95.0,50.0,45629,GPS,L5
6,17.0,88.0,41.0,45629,Galileo,L5
23,11.0,26.0,43.0,45629,Galileo,L5
6,17.0,88.0,50.0,45629,Galileo,L1
23,11.0,26.0,51.0,45629,Galileo,L1
37,22.0,46.0,50.0,45629,BeiDou,L1
9,21.0,51.0,45.0,45629,BeiDou,L1
6,8.0,49.0,41.0,45629,BeiDou,L1
37,22.0,46.0,51.0,45629,BeiDou,L5
9,15.0,95.0,48.0,45630,GPS,L1
9,15.0,95.0,50.0,45630,GPS,L5
6,17.0,88.0,41.0,45630,Galileo,L5
23,11.0,26.0,44.0,45630,Galileo,L5
6,17.0,88.0,50.0,45630,Galileo,L1
23,11.0,26.0,51.0,45630,Galileo,L1
37,22.0,46.0,50.0,45630,BeiDou,L1
9,21.0,51.0,45.0,45630,BeiDou,L1
6,8.0,49.0,41.0,45630,BeiDou,L1
37,22.0,46.0,51.0,45630,BeiDou,L5
9,15.0,95.0,48.0,45631,GPS,L1
9,15.0,95.0,50.0,45631,GPS,L5
6,17.0,88.0,41.0,45631,Galileo,L5
23,11.0,26.0,43.0,45631,Galileo,L5
6,17.0,88.0,50.0,45631,Galileo,L1
23,11.0,26.0,51.0,45631,Galileo,L1
37,22.0,46.0,50.0,45631,BeiDou,L1
9,21.0,51.0,45.0,45631,BeiDou,L1
6,8.0,49.0,41.0,45631,BeiDou,L1
37,22.0,46.0,51.0,45631,BeiDou,L5
9,14.0,96.0,48.0,45632,GPS,L1
9,14.0,96.0,50.0,45632,GPS,L5
6,17.0,88.0,41.0,45632,Galileo,L5
23,11.0,26.0,42.0,45632,Galileo,L5
23,11.0,26.0,51.0,45632,Galileo,L1
6,17.0,88.0,50.0,45632,Galileo,L1
37,22.0,46.0,50.0,45632,BeiDou,L1
9,21.0,51.0,45.0,45632,BeiDou,L1
6,8.0,49.0,41.0,45632,BeiDou,L1
37,22.0,46.0,51.0,45632,BeiDou,L5
9,14.0,96.0,48.0,45633,GPS,L1
9,14.0,96.0,50.0,45633,GPS,L5
6,17.0,88.0,41.0,45633,Galileo,L5
23,11.0,26.0,41.0,45633,Galileo,L5
23,11.0,26.0,51.0,45633,Galileo,L1
6,17.0,88.0,50.0,45633,Galileo,L1
37,22.0,46.0,50.0,45633,BeiDou,L1
9,21.0,51.0,44.0,45633,BeiDou,L1
6,8.0,49.0,41.0,45633,BeiDou,L1
37,22.0,46.0,51.0,45633,BeiDou,L5
9,14.0,96.0,48.0,45634,GPS,L1
9,14.0,96.0,50.0,45634,GPS,L5
6,17.0,88.0,41.0,45634,Galileo,L5
23,11.0,26.0,41.0,45634,Galileo,L5
23,11.0,26.0,51.0,45634,Galileo,L1
6,17.0,88.0,50.0,45634,Galileo,L1
37,22.0,46.0,50.0,45634,BeiDou,L1
9,21.0,51.0,44.0,45634,BeiDou,L1
6,8.0,49.0,41.0,45634,BeiDou,L1
37,22.0,46.0,51.0,45634,BeiDou,L5
9,14.0,96.0,48.0,45635,GPS,L1
9,14.0,96.0,50.0,45635,GPS,L5
6,17.0,88.0,41.0,45635,Galileo,L5
23,11.0,26.0,42.0,45635,Galileo,L5
23,11.0,26.0,51.0,45635,Galileo,L1
6,17.0,88.0,50.0,45635,Galileo,L1
37,22.0,46.0,50.0,45635,BeiDou,L1
9,21.0,51.0,44.0,45635,BeiDou,L1
6,8.0,49.0,41.0,45635,BeiDou,L1
37,22.0,46.0,51.0,45635,BeiDou,L5
9,14.0,96.0,48.0,45636,GPS,L1
9,14.0,96.0,50.0,45636,GPS,L5
6,17.0,88.0,41.0,45636,Galileo,L5
23,11.0,26.0,41.0,45636,Galileo,L5
23,11.0,26.0,51.0,45636,Galileo,L1
6,17.0,88.0,50.0,45636,Galileo,L1
37,22.0,46.0,50.0,45636,BeiDou,L1
9,21.0,51.0,43.0,45636,BeiDou,L1
6,8.0,49.0,41.0,45636,BeiDou,L1
37,22.0,46.0,51.0,45636,BeiDou,L5
9,14.0,96.0,48.0,45637,GPS,L1
9,14.0,96.0,50.0,45637,GPS,L5
6,17.0,88.0,42.0,45637,Galileo,L5
23,11.0,26.0,41.0,45637,Galileo,L5
23,11.0,26.0,51.0,45637,Galileo,L1
6,17.0,88.0,50.0,45637,Galileo,L1
37,22.0,46.0,50.0,45637,BeiDou,L1
9,21.0,51.0,43.0,45637,BeiDou,L1
6,8.0,49.0,41.0,45637,BeiDou,L1
37,22.0,46.0,51.0,45637,BeiDou,L5
9,14.0,96.0,48.0,45638,GPS,L1
9,14.0,96.0,50.0,45638,GPS,L5
6,17.0,88.0,42.0,45638,Galileo,L5
23,11.0,26.0,40.0,45638,Galileo,L5
23,11.0,26.0,51.0,45638,Galileo,L1
6,17.0,88.0,50.0,45638,Galileo,L1
37,22.0,46.0,50.0,45638,BeiDou,L1
9,21.0,51.0,43.0,45638,BeiDou,L1
6,8.0,49.0,41.0,45638,BeiDou,L1
37,22.0,46.0,51.0,45638,BeiDou,L5
9,14.0,96.0,48.0,45639,GPS,L1
9,14.0,96.0,50.0,45639,GPS,L5
6,17.0,88.0,43.0,45639,Galileo,L5
23,11.0,26.0,40.0,45639,Galileo,L5
23,11.0,26.0,51.0,45639,Galileo,L1
6,17.0,88.0,50.0,45639,Galileo,L1
37,22.0,46.0,50.0,45639,BeiDou,L1
9,21.0,51.0,44.0,45639,BeiDou,L1
6,8.0,49.0,41.0,45639,BeiDou,L1
37,22.0,46.0,51.0,45639,BeiDou,L5
9,14.0,96.0,48.0,45640,GPS,L1
9,14.0,96.0,50.0,45640,GPS,L5
6,17.0,88.0,43.0,45640,Galileo,L5
23,11.0,26.0,39.0,45640,Galileo,L5
23,11.0,26.0,51.0,45640,Galileo,L1
6,17.0,88.0,50.0,45640,Galileo,L1
37,22.0,46.0,50.0,45640,BeiDou,L1
9,21.0,51.0,45.0,45640,BeiDou,L1
6,8.0,49.0,40.0,45640,BeiDou,L1
37,22.0,46.0,51.0,45640,BeiDou,L5
9,14.0,96.0,48.0,45641,GPS,L1
9,14.0,96.0,50.0,45641,GPS,L5
6,17.0,88.0,43.0,45641,Galileo,L5
23,11.0,26.0,39.0,45641,Galileo,L5
23,11.0,26.0,51.0,45641,Galileo,L1
6,17.0,88.0,50.0,45641,Galileo,L1
37,22.0,46.0,50.0,45641,BeiDou,L1
9,21.0,51.0,46.0,45641,BeiDou,L1
6,8.0,49.0,40.0,45641,BeiDou,L1
37,22.0,46.0,51.0,45641,BeiDou,L5
9,14.0,96.0,48.0,45642,GPS,L1
9,14.0,96.0,50.0,45642,GPS,L5
6,17.0,88.0,43.0,45642,Galileo,L5
23,11.0,26.0,39.0,45642,Galileo,L5
23,11.0,26.0,51.0,45642,Galileo,L1
6,17.0,88.0,50.0,45642,Galileo,L1
37,22.0,46.0,50.0,45642,BeiDou,L1
9,21.0,51.0,46.0,45642,BeiDou,L1
6,8.0,49.0,40.0,45642,BeiDou,L1
37,22.0,46.0,51.0,45642,BeiDou,L5
9,14.0,96.0,47.0,45643,GPS,L1
9,14.0,96.0,50.0,45643,GPS,L5
6,17.0,88.0,42.0,45643,Galileo,L5
23,11.0,26.0,39.0,45643,Galileo,L5
23,11.0,26.0,51.0,45643,Galileo,L1
6,17.0,88.0,50.0,45643,Galileo,L1
37,22.0,46.0,50.0,45643,BeiDou,L1
9,21.0,51.0,46.0,45643,BeiDou,L1
6,8.0,49.0,40.0,45643,BeiDou,L1
37,22.0,46.0,51.0,45643,BeiDou,L5
9,14.0,96.0,47.0,45644,GPS,L1
9,14.0,96.0,50.0,45644,GPS,L5
6,17.0,88.0,42.0,45644,Galileo,L5
23,11.0,26.0,40.0,45644,Galileo,L5
23,11.0,26.0,51.0,45644,Galileo,L1
6,17.0,88.0,50.0,45644,Galileo,L1
37,22.0,46.0,50.0,45644,BeiDou,L1
9,21.0,51.0,46.0,45644,BeiDou,L1
6,8.0,49.0,40.0,45644,BeiDou,L1
37,22.0,46.0,51.0,45644,BeiDou,L5
9,14.0,96.0,47.0,45645,GPS,L1
9,14.0,96.0,50.0,45645,GPS,L5
6,17.0,88.0,43.0,45645,Galileo,L5
23,11.0,26.0,41.0,45645,Galileo,L5
23,11.0,26.0,51.0,45645,Galileo,L1
6,17.0,88.0,50.0,45645,Galileo,L1
37,22.0,46.0,50.0,45645,BeiDou,L1
9,21.0,51.0,46.0,45645,BeiDou,L1
6,8.0,49.0,40.0,45645,BeiDou,L1
37,22.0,46.0,51.0,45645,BeiDou,L5
9,14.0,96.0,47.0,45646,GPS,L1
9,14.0,96.0,50.0,45646,GPS,L5
23,11.0,26.0,41.0,45646,Galileo,L5
6,17.0,88.0,42.0,45646,Galileo,L5
23,11.0,26.0,51.0,45646,Galileo,L1
6,17.0,88.0,50.0,45646,Galileo,L1
37,22.0,46.0,50.0,45646,BeiDou,L1
9,21.0,51.0,45.0,45646,BeiDou,L1
6,8.0,49.0,40.0,45646,BeiDou,L1
37,22.0,46.0,51.0,45646,BeiDou,L5
9,14.0,96.0,47.0,45647,GPS,L1
9,14.0,96.0,50.0,45647,GPS,L5
23,11.0,26.0,41.0,45647,Galileo,L5
6,17.0,88.0,42.0,45647,Galileo,L5
23,11.0,26.0,51.0,45647,Galileo,L1
6,17.0,88.0,50.0,45647,Galileo,L1
37,22.0,46.0,50.0,45647,BeiDou,L1
9,21.0,51.0,44.0,45647,BeiDou,L1
6,8.0,49.0,40.0,45647,BeiDou,L1
37,22.0,46.0,51.0,45647,BeiDou,L5
9,14.0,96.0,47.0,45648,GPS,L1
9,14.0,96.0,50.0,45648,GPS,L5
23,11.0,26.0,41.0,45648,Galileo,L5
6,17.0,88.0,42.0,45648,Galileo,L5
23,11.0,26.0,51.0,45648,Galileo,L1
6,17.0,88.0,50.0,45648,Galileo,L1
37,22.0,46.0,50.0,45648,BeiDou,L1
9,21.0,51.0,44.0,45648,BeiDou,L1
6,8.0,49.0,40.0,45648,BeiDou,L1
37,22.0,46.0,51.0,45648,BeiDou,L5
9,14.0,96.0,48.0,45649,GPS,L1
9,14.0,96.0,50.0,45649,GPS,L5
23,11.0,26.0,40.0,45649,Galileo,L5
6,17.0,88.0,41.0,45649,Galileo,L5
23,11.0,26.0,51.0,45649,Galileo,L1
6,17.0,88.0,50.0,45649,Galileo,L1
37,22.0,46.0,50.0,45649,BeiDou,L1
9,21.0,51.0,45.0,45649,BeiDou,L1
6,8.0,49.0,40.0,45649,BeiDou,L1
37,22.0,46.0,51.0,45649,BeiDou,L5
9,14.0,96.0,48.0,45650,GPS,L1
9,14.0,96.0,50.0,45650,GPS,L5
23,11.0,26.0,39.0,45650,Galileo,L5
6,17.0,88.0,41.0,45650,Galileo,L5
23,11.0,26.0,51.0,45650,Galileo,L1
6,17.0,88.0,50.0,45650,Galileo,L1
37,22.0,46.0,50.0,45650,BeiDou,L1
9,21.0,51.0,45.0,45650,BeiDou,L1
6,8.0,49.0,41.0,45650,BeiDou,L1
37,22.0,46.0,51.0,45650,BeiDou,L5
9,14.0,96.0,48.0,45651,GPS,L1
9,14.0,96.0,50.0,45651,GPS,L5
23,11.0,26.0,40.0,45651,Galileo,L5
6,17.0,88.0,42.0,45651,Galileo,L5
23,11.0,26.0,51.0,45651,Galileo,L1
6,17.0,88.0,50.0,45651,Galileo,L1
37,22.0,46.0,50.0,45651,BeiDou,L1
9,21.0,51.0,45.0,45651,BeiDou,L1
6,8.0,49.0,40.0,45651,BeiDou,L1
37,22.0,46.0,51.0,45651,BeiDou,L5
9,14.0,96.0,47.0,45652,GPS,L1
9,14.0,96.0,50.0,45652,GPS,L5
23,11.0,26.0,40.0,45652,Galileo,L5
6,17.0,88.0,42.0,45652,Galileo,L5
23,11.0,26.0,51.0,45652,Galileo,L1
6,17.0,88.0,50.0,45652,Galileo,L1
37,22.0,46.0,50.0,45652,BeiDou,L1
9,21.0,51.0,45.0,45652,BeiDou,L1
6,8.0,49.0,40.0,45652,BeiDou,L1
37,22.0,46.0,51.0,45652,BeiDou,L5
9,14.0,96.0,47.0,45653,GPS,L1
9,14.0,96.0,50.0,45653,GPS,L5
23,11.0,26.0,41.0,45653,Galileo,L5
6,17.0,88.0,42.0,45653,Galileo,L5
23,11.0,26.0,51.0,45653,Galileo,L1
6,17.0,88.0,50.0,45653,Galileo,L1
37,22.0,46.0,50.0,45653,BeiDou,L1
9,21.0,51.0,45.0,45653,BeiDou,L1
6,8.0,49.0,40.0,45653,BeiDou,L1
37,22.0,46.0,51.0,45653,BeiDou,L5
9,14.0,96.0,47.0,45654,GPS,L1
9,14.0,96.0,50.0,45654,GPS,L5
23,11.0,26.0,41.0,45654,Galileo,L5
6,17.0,88.0,43.0,45654,Galileo,L5
23,11.0,26.0,51.0,45654,Galileo,L1
6,17.0,88.0,50.0,45654,Galileo,L1
37,22.0,46.0,50.0,45654,BeiDou,L1
9,21.0,51.0,45.0,45654,BeiDou,L1
6,8.0,49.0,39.0,45654,BeiDou,L1
37,22.0,46.0,51.0,45654,BeiDou,L5
9,14.0,96.0,47.0,45655,GPS,L1
9,14.0,96.0,50.0,45655,GPS,L5
23,11.0,26.0,39.0,45655,Galileo,L5
6,17.0,88.0,43.0,45655,Galileo,L5
23,11.0,26.0,51.0,45655,Galileo,L1
6,17.0,88.0,50.0,45655,Galileo,L1
37,22.0,46.0,50.0,45655,BeiDou,L1
9,21.0,51.0,45.0,45655,BeiDou,L1
6,8.0,49.0,40.0,45655,BeiDou,L1
37,22.0,46.0,51.0,45655,BeiDou,L5
9,14.0,96.0,47.0,45656,GPS,L1
9,14.0,96.0,50.0,45656,GPS,L5
23,11.0,26.0,39.0,45656,Galileo,L5
6,17.0,88.0,43.0,45656,Galileo,L5
23,11.0,26.0,51.0,45656,Galileo,L1
6,17.0,88.0,50.0,45656,Galileo,L1
37,22.0,46.0,50.0,45656,BeiDou,L1
9,21.0,51.0,45.0,45656,BeiDou,L1
6,8.0,49.0,40.0,45656,BeiDou,L1
37,22.0,46.0,51.0,45656,BeiDou,L5
9,14.0,96.0,47.0,45657,GPS,L1
9,14.0,96.0,50.0,45657,GPS,L5
23,11.0,26.0,39.0,45657,Galileo,L5
